,USAF,YR--MODAHRMN,TEMP,MAX,MIN,CELSIUS
0,28450,201705010000,2.0,,,0
1,28450,201705010020,2.0,,,-1
2,28450,201705010050,2.0,,,-1
3,28450,201705010100,2.0,,,0
4,28450,201705010120,2.0,,,-1
5,28450,201705010150,2.0,,,-1
6,28450,201705010200,2.0,,,0
7,28450,201705010220,2.0,,,-1
8,28450,201705010250,2.0,,,-1
9,28450,201705010300,2.0,,,0
10,28450,201705010320,2.0,,,-1
11,28450,201705010350,2.0,,,-1
12,28450,201705010400,2.0,,,0
13,28450,201705010420,2.0,,,-1
14,28450,201705010450,2.0,,,-1
15,28450,201705010500,2.0,,,0
16,28450,201705010520,2.0,,,-1
17,28450,201705010550,2.0,,,-1
18,28450,201705010600,2.0,2.0,2.0,0
19,28450,201705010620,2.0,,,-1
20,28450,201705010650,2.0,,,-1
21,28450,201705010700,2.0,,,-1
22,28450,201705010720,2.0,,,-1
23,28450,201705010750,2.0,,,0
24,28450,201705010800,2.0,,,0
25,28450,201705010820,2.0,,,0
26,28450,201705010850,2.0,,,1
27,28450,201705010900,2.0,,,1
28,28450,201705010920,2.0,,,1
29,28450,201705010950,2.0,,,2
30,28450,201705011000,2.0,,,2
31,28450,201705011020,2.0,,,2
32,28450,201705011050,2.0,,,2
33,28450,201705011100,2.0,,,2
34,28450,201705011120,2.0,,,2
35,28450,201705011150,2.0,,,3
36,28450,201705011200,2.0,,,4
37,28450,201705011220,2.0,,,3
38,28450,201705011250,2.0,,,3
39,28450,201705011300,2.0,,,5
40,28450,201705011320,2.0,,,3
41,28450,201705011350,2.0,,,5
42,28450,201705011400,2.0,,,5
43,28450,201705011420,2.0,,,5
44,28450,201705011450,2.0,,,5
45,28450,201705011500,2.0,,,5
46,28450,201705011520,2.0,,,6
47,28450,201705011550,2.0,,,6
48,28450,201705011600,2.0,,,6
49,28450,201705011620,2.0,,,6
50,28450,201705011650,2.0,,,6
51,28450,201705011700,2.0,,,6
52,28450,201705011720,2.0,,,6
53,28450,201705011750,2.0,,,6
54,28450,201705011800,2.0,2.0,2.0,5
55,28450,201705011820,2.0,,,5
56,28450,201705011850,2.0,,,5
57,28450,201705011900,2.0,,,4
58,28450,201705011920,2.0,,,3
59,28450,201705011950,2.0,,,3
60,28450,201705012000,2.0,,,3
61,28450,201705012020,2.0,,,3
62,28450,201705012050,2.0,,,2
63,28450,201705012100,2.0,,,3
64,28450,201705012120,2.0,,,2
65,28450,201705012150,2.0,,,2
66,28450,201705012200,2.0,,,2
67,28450,201705012220,2.0,,,2
68,28450,201705012250,2.0,,,2
69,28450,201705012300,2.0,,,2
70,28450,201705012320,2.0,,,2
71,28450,201705012350,2.0,,,2
72,28450,201705020000,2.0,,,2
73,28450,201705020020,2.0,,,2
74,28450,201705020050,2.0,,,2
75,28450,201705020100,2.0,,,2
76,28450,201705020120,2.0,,,2
77,28450,201705020150,2.0,,,2
78,28450,201705020200,2.0,,,2
79,28450,201705020220,2.0,,,2
80,28450,201705020250,2.0,,,2
81,28450,201705020300,2.0,,,2
82,28450,201705020320,2.0,,,2
83,28450,201705020350,2.0,,,2
84,28450,201705020400,2.0,,,3
85,28450,201705020420,2.0,,,2
86,28450,201705020450,2.0,,,3
87,28450,201705020500,2.0,,,3
88,28450,201705020520,2.0,,,3
89,28450,201705020550,2.0,,,3
90,28450,201705020600,2.0,2.0,2.0,5
91,28450,201705020620,2.0,,,3
92,28450,201705020650,2.0,,,5
93,28450,201705020700,2.0,,,5
94,28450,201705020720,2.0,,,5
95,28450,201705020750,2.0,,,5
96,28450,201705020800,2.0,,,6
97,28450,201705020820,2.0,,,5
98,28450,201705020850,2.0,,,5
99,28450,201705020900,2.0,,,6
100,28450,201705020920,2.0,,,6
101,28450,201705020950,2.0,,,6
102,28450,201705021000,2.0,,,7
103,28450,201705021020,2.0,,,6
104,28450,201705021050,2.0,,,5
105,28450,201705021100,2.0,,,5
106,28450,201705021120,2.0,,,6
107,28450,201705021150,2.0,,,6
108,28450,201705021200,2.0,,,6
109,28450,201705021220,2.0,,,3
110,28450,201705021250,2.0,,,2
111,28450,201705021300,2.0,,,3
112,28450,201705021320,2.0,,,5
113,28450,201705021350,2.0,,,3
114,28450,201705021400,2.0,,,4
115,28450,201705021420,2.0,,,3
116,28450,201705021450,2.0,,,3
117,28450,201705021500,2.0,,,4
118,28450,201705021520,2.0,,,3
119,28450,201705021550,2.0,,,3
120,28450,201705021600,2.0,,,3
121,28450,201705021620,2.0,,,2
122,28450,201705021650,2.0,,,2
123,28450,201705021700,2.0,,,3
124,28450,201705021720,2.0,,,2
125,28450,201705021750,2.0,,,2
126,28450,201705021800,2.0,2.0,2.0,2
127,28450,201705021820,2.0,,,2
128,28450,201705021850,2.0,,,2
129,28450,201705021900,2.0,,,2
130,28450,201705021920,2.0,,,2
131,28450,201705021950,2.0,,,2
132,28450,201705022000,2.0,,,2
133,28450,201705022020,2.0,,,2
134,28450,201705022050,2.0,,,1
135,28450,201705022100,2.0,,,1
136,28450,201705022120,2.0,,,1
137,28450,201705022150,2.0,,,1
138,28450,201705022200,2.0,,,1
139,28450,201705022220,2.0,,,1
140,28450,201705022250,2.0,,,1
141,28450,201705022300,2.0,,,0
142,28450,201705022320,2.0,,,1
143,28450,201705022350,2.0,,,1
144,28450,201705030000,2.0,,,1
145,28450,201705030020,2.0,,,2
146,28450,201705030050,2.0,,,2
147,28450,201705030100,2.0,,,1
148,28450,201705030120,2.0,,,2
149,28450,201705030150,2.0,,,2
150,28450,201705030200,2.0,,,1
151,28450,201705030220,2.0,,,2
152,28450,201705030250,2.0,,,2
153,28450,201705030300,2.0,,,2
154,28450,201705030320,2.0,,,2
155,28450,201705030400,2.0,,,2
156,28450,201705030420,2.0,,,2
157,28450,201705030450,2.0,,,2
158,28450,201705030500,2.0,,,2
159,28450,201705030520,2.0,,,2
160,28450,201705030550,2.0,,,2
161,28450,201705030600,2.0,2.0,2.0,2
162,28450,201705030620,2.0,,,2
163,28450,201705030650,2.0,,,2
164,28450,201705030700,2.0,,,2
165,28450,201705030720,2.0,,,2
166,28450,201705030750,2.0,,,2
167,28450,201705030800,2.0,,,3
168,28450,201705030820,2.0,,,2
169,28450,201705030850,2.0,,,2
170,28450,201705030900,2.0,,,3
171,28450,201705030920,2.0,,,3
172,28450,201705030950,2.0,,,2
173,28450,201705031000,2.0,,,3
174,28450,201705031020,2.0,,,2
175,28450,201705031050,2.0,,,2
176,28450,201705031100,2.0,,,3
177,28450,201705031120,2.0,,,2
178,28450,201705031150,2.0,,,2
179,28450,201705031200,2.0,,,2
180,28450,201705031220,2.0,,,2
181,28450,201705031250,2.0,,,2
182,28450,201705031300,2.0,,,3
183,28450,201705031320,2.0,,,2
184,28450,201705031350,2.0,,,2
185,28450,201705031400,2.0,,,3
186,28450,201705031420,2.0,,,2
187,28450,201705031450,2.0,,,2
188,28450,201705031500,2.0,,,3
189,28450,201705031520,2.0,,,2
190,28450,201705031550,2.0,,,2
191,28450,201705031600,2.0,,,3
192,28450,201705031620,2.0,,,2
193,28450,201705031650,2.0,,,2
194,28450,201705031700,2.0,,,2
195,28450,201705031720,2.0,,,2
196,28450,201705031750,2.0,,,2
197,28450,201705031800,2.0,2.0,2.0,2
198,28450,201705031820,2.0,,,2
199,28450,201705031850,2.0,,,2
200,28450,201705031900,2.0,,,1
201,28450,201705031920,2.0,,,1
202,28450,201705031950,2.0,,,1
203,28450,201705032000,2.0,,,1
204,28450,201705032020,2.0,,,0
205,28450,201705032050,2.0,,,0
206,28450,201705032100,2.0,,,0
207,28450,201705032120,2.0,,,0
208,28450,201705032150,2.0,,,0
209,28450,201705032200,2.0,,,0
210,28450,201705032220,2.0,,,0
211,28450,201705032250,2.0,,,-1
212,28450,201705032300,2.0,,,0
213,28450,201705032320,2.0,,,-1
214,28450,201705032350,2.0,,,-1
215,28450,201705040000,2.0,,,-1
216,28450,201705040020,2.0,,,-1
217,28450,201705040050,2.0,,,-1
218,28450,201705040100,2.0,,,0
219,28450,201705040120,2.0,,,-1
220,28450,201705040150,2.0,,,-1
221,28450,201705040200,2.0,,,0
222,28450,201705040220,2.0,,,-1
223,28450,201705040250,2.0,,,-1
224,28450,201705040300,2.0,,,-1
225,28450,201705040320,2.0,,,-1
226,28450,201705040350,2.0,,,-1
227,28450,201705040400,2.0,,,0
228,28450,201705040420,2.0,,,-1
229,28450,201705040450,2.0,,,-1
230,28450,201705040500,2.0,,,0
231,28450,201705040520,2.0,,,0
232,28450,201705040550,2.0,,,1
233,28450,201705040600,2.0,2.0,2.0,1
234,28450,201705040620,2.0,,,2
235,28450,201705040650,2.0,,,2
236,28450,201705040700,2.0,,,4
237,28450,201705040720,2.0,,,2
238,28450,201705040750,2.0,,,3
239,28450,201705040800,2.0,,,5
240,28450,201705040820,2.0,,,5
241,28450,201705040850,2.0,,,5
242,28450,201705040900,2.0,,,6
243,28450,201705040920,2.0,,,6
244,28450,201705040950,2.0,,,6
245,28450,201705041000,2.0,,,7
246,28450,201705041020,2.0,,,6
247,28450,201705041051,2.0,,,7
248,28450,201705041100,2.0,,,7
249,28450,201705041120,2.0,,,7
250,28450,201705041150,2.0,,,7
251,28450,201705041200,2.0,,,8
252,28450,201705041220,2.0,,,7
253,28450,201705041250,2.0,,,7
254,28450,201705041300,2.0,,,8
255,28450,201705041320,2.0,,,7
256,28450,201705041350,2.0,,,7
257,28450,201705041400,2.0,,,8
258,28450,201705041420,2.0,,,7
259,28450,201705041450,2.0,,,7
260,28450,201705041500,2.0,,,8
261,28450,201705041520,2.0,,,7
262,28450,201705041550,2.0,,,7
263,28450,201705041600,2.0,,,8
264,28450,201705041620,2.0,,,7
265,28450,201705041650,2.0,,,7
266,28450,201705041700,2.0,,,7
267,28450,201705041720,2.0,,,6
268,28450,201705041750,2.0,,,5
269,28450,201705041800,2.0,2.0,2.0,6
270,28450,201705041820,2.0,,,6
271,28450,201705041850,2.0,,,6
272,28450,201705041900,2.0,,,6
273,28450,201705041920,2.0,,,6
274,28450,201705041950,2.0,,,5
275,28450,201705042000,2.0,,,5
276,28450,201705042020,2.0,,,5
277,28450,201705042050,2.0,,,6
278,28450,201705042100,2.0,,,5
279,28450,201705042120,2.0,,,5
280,28450,201705042150,2.0,,,5
281,28450,201705042200,2.0,,,5
282,28450,201705042220,2.0,,,5
283,28450,201705042250,2.0,,,5
284,28450,201705042300,2.0,,,5
285,28450,201705042320,2.0,,,5
286,28450,201705042350,2.0,,,5
287,28450,201705050000,2.0,,,4
288,28450,201705050020,2.0,,,5
289,28450,201705050050,2.0,,,3
290,28450,201705050100,2.0,,,4
291,28450,201705050120,2.0,,,3
292,28450,201705050150,2.0,,,3
293,28450,201705050200,2.0,,,4
294,28450,201705050220,2.0,,,3
295,28450,201705050250,2.0,,,3
296,28450,201705050300,2.0,,,4
297,28450,201705050320,2.0,,,5
298,28450,201705050350,2.0,,,5
299,28450,201705050400,2.0,,,5
300,28450,201705050420,2.0,,,6
301,28450,201705050450,2.0,,,7
302,28450,201705050500,2.0,,,7
303,28450,201705050520,2.0,,,7
304,28450,201705050550,2.0,,,7
305,28450,201705050600,2.0,2.0,2.0,8
306,28450,201705050620,2.0,,,7
307,28450,201705050650,2.0,,,8
308,28450,201705050700,2.0,,,9
309,28450,201705050720,2.0,,,8
310,28450,201705050750,2.0,,,10
311,28450,201705050800,2.0,,,10
312,28450,201705050820,2.0,,,10
313,28450,201705050850,2.0,,,10
314,28450,201705050900,2.0,,,11
315,28450,201705050920,2.0,,,10
316,28450,201705050950,2.0,,,10
317,28450,201705051000,2.0,,,11
318,28450,201705051020,2.0,,,10
319,28450,201705051050,2.0,,,11
320,28450,201705051100,2.0,,,11
321,28450,201705051120,2.0,,,11
322,28450,201705051150,2.0,,,11
323,28450,201705051200,2.0,,,11
324,28450,201705051220,2.0,,,11
325,28450,201705051250,2.0,,,11
326,28450,201705051300,2.0,,,12
327,28450,201705051320,2.0,,,11
328,28450,201705051350,2.0,,,11
329,28450,201705051400,2.0,,,11
330,28450,201705051420,2.0,,,11
331,28450,201705051450,2.0,,,10
332,28450,201705051500,2.0,,,10
333,28450,201705051520,2.0,,,8
334,28450,201705051550,2.0,,,8
335,28450,201705051600,2.0,,,8
336,28450,201705051620,2.0,,,7
337,28450,201705051650,2.0,,,7
338,28450,201705051700,2.0,,,6
339,28450,201705051720,2.0,,,6
340,28450,201705051750,2.0,,,5
341,28450,201705051800,2.0,2.0,2.0,5
342,28450,201705051820,2.0,,,3
343,28450,201705051850,2.0,,,3
344,28450,201705051900,2.0,,,3
345,28450,201705051920,2.0,,,3
346,28450,201705051950,2.0,,,2
347,28450,201705052000,2.0,,,3
348,28450,201705052020,2.0,,,2
349,28450,201705052050,2.0,,,2
350,28450,201705052100,2.0,,,2
351,28450,201705052120,2.0,,,2
352,28450,201705052150,2.0,,,2
353,28450,201705052200,2.0,,,2
354,28450,201705052220,2.0,,,2
355,28450,201705052250,2.0,,,2
356,28450,201705052300,2.0,,,1
357,28450,201705052320,2.0,,,1
358,28450,201705052350,2.0,,,1
359,28450,201705060000,2.0,,,1
360,28450,201705060020,2.0,,,1
361,28450,201705060050,2.0,,,0
362,28450,201705060100,2.0,,,0
363,28450,201705060120,2.0,,,0
364,28450,201705060150,2.0,,,0
365,28450,201705060200,2.0,,,0
366,28450,201705060220,2.0,,,-1
367,28450,201705060250,2.0,,,-1
368,28450,201705060300,2.0,,,0
369,28450,201705060320,2.0,,,-1
370,28450,201705060350,2.0,,,-1
371,28450,201705060400,2.0,,,0
372,28450,201705060420,2.0,,,-1
373,28450,201705060450,2.0,,,-1
374,28450,201705060500,2.0,,,-1
375,28450,201705060520,2.0,,,-1
376,28450,201705060550,2.0,,,-1
377,28450,201705060600,2.0,2.0,2.0,0
378,28450,201705060620,2.0,,,-1
379,28450,201705060650,2.0,,,-1
380,28450,201705060700,2.0,,,0
381,28450,201705060720,2.0,,,-1
382,28450,201705060750,2.0,,,-1
383,28450,201705060800,2.0,,,0
384,28450,201705060820,2.0,,,0
385,28450,201705060850,2.0,,,0
386,28450,201705060900,2.0,,,0
387,28450,201705060920,2.0,,,0
388,28450,201705060950,2.0,,,0
389,28450,201705061000,2.0,,,0
390,28450,201705061020,2.0,,,0
391,28450,201705061050,2.0,,,0
392,28450,201705061100,2.0,,,0
393,28450,201705061120,2.0,,,0
394,28450,201705061150,2.0,,,1
395,28450,201705061200,2.0,,,1
396,28450,201705061220,2.0,,,1
397,28450,201705061250,2.0,,,1
398,28450,201705061300,2.0,,,1
399,28450,201705061320,2.0,,,1
400,28450,201705061350,2.0,,,0
401,28450,201705061400,2.0,,,1
402,28450,201705061420,2.0,,,1
403,28450,201705061450,2.0,,,1
404,28450,201705061500,2.0,,,1
405,28450,201705061520,2.0,,,1
406,28450,201705061550,2.0,,,1
407,28450,201705061600,2.0,,,1
408,28450,201705061620,2.0,,,1
409,28450,201705061650,2.0,,,1
410,28450,201705061700,2.0,,,0
411,28450,201705061720,2.0,,,0
412,28450,201705061750,2.0,,,0
413,28450,201705061800,2.0,2.0,2.0,0
414,28450,201705061820,2.0,,,0
415,28450,201705061850,2.0,,,0
416,28450,201705061900,2.0,,,0
417,28450,201705061920,2.0,,,-1
418,28450,201705061950,2.0,,,-2
419,28450,201705062000,2.0,,,-1
420,28450,201705062020,2.0,,,-2
421,28450,201705062050,2.0,,,-2
422,28450,201705062100,2.0,,,-2
423,28450,201705062120,2.0,,,-2
424,28450,201705062150,2.0,,,-2
425,28450,201705062200,2.0,,,-2
426,28450,201705062220,2.0,,,-2
427,28450,201705062250,2.0,,,-2
428,28450,201705062300,2.0,,,-2
429,28450,201705062320,2.0,,,-2
430,28450,201705062350,2.0,,,-2
431,28450,201705070000,2.0,,,-2
432,28450,201705070020,2.0,,,-2
433,28450,201705070050,2.0,,,-2
434,28450,201705070100,2.0,,,-2
435,28450,201705070120,2.0,,,-2
436,28450,201705070150,2.0,,,-2
